날짜,시간,경기종류,장소,홈팀,홈점수,원정팀,원정점수,중계채널
2025-03-01,14:00,정규시즌,잠실학생체육관,SK,66,한국가스공사,79,""
2025-03-01,14:00,정규시즌,울산동천체육관,현대모비스,73,소노,83,""
2025-03-01,16:00,정규시즌,창원체육관,LG,97,정관장,64,""
2025-03-02,14:00,정규시즌,부산사직체육관,KCC,101,KT,94,""
2025-03-02,14:00,정규시즌,원주종합체육관,DB,75,한국가스공사,74,""
2025-03-02,16:00,정규시즌,잠실실내체육관,삼성,92,현대모비스,77,""
2025-03-03,14:00,정규시즌,수원 KT 아레나,KT,60,LG,75,""
2025-03-03,14:00,정규시즌,안양 정관장 아레나,정관장,92,소노,87,""
2025-03-03,16:00,정규시즌,잠실학생체육관,SK,90,KCC,69,""
2025-03-04,19:00,정규시즌,잠실실내체육관,삼성,75,한국가스공사,81,""
2025-03-05,14:00,D리그 1차,이천 LG 챔피언스파크,KT,81,DB,67,""
2025-03-05,16:00,D리그 1차,이천 LG 챔피언스파크,한국가스공사,75,LG,82,""
2025-03-05,19:00,정규시즌,고양 소노 아레나,소노,85,KCC,117,""
2025-03-05,19:00,정규시즌,잠실학생체육관,SK,105,현대모비스,76,""
2025-03-07,19:00,정규시즌,창원체육관,LG,82,한국가스공사,59,""
2025-03-07,19:00,정규시즌,잠실실내체육관,삼성,85,DB,99,""
2025-03-07,19:00,정규시즌,수원 KT 아레나,KT,94,KCC,96,""
2025-03-09,15:00,정규시즌,수원 KT 아레나,KT,98,현대모비스,94,""
2025-03-09,17:00,정규시즌,원주종합체육관,DB,115,KCC,104,""
2025-03-09,17:00,정규시즌,잠실실내체육관,삼성,92,소노,86,""
2025-03-11,19:00,정규시즌,창원체육관,LG,87,KT,76,""
2025-03-12,14:00,플레이오프,이천 LG 챔피언스파크,상무,81,DB,72,""
2025-03-12,16:00,플레이오프,이천 LG 챔피언스파크,현대모비스,69,KT,103,""
2025-03-13,16:00,챔피언결정전,이천 LG 챔피언스파크,상무,90,KT,76,""
2025-03-13,19:00,정규시즌,안양 정관장 아레나,정관장,80,소노,94,""
2025-03-13,19:00,정규시즌,잠실학생체육관,SK,82,한국가스공사,67,""
2025-03-14,19:00,정규시즌,원주종합체육관,DB,107,KT,103,""
2025-03-14,19:00,정규시즌,안양 정관장 아레나,정관장,69,삼성,77,""
2025-03-15,19:00,정규시즌,대구체육관,한국가스공사,99,KCC,85,""
2025-03-15,19:00,정규시즌,고양 소노 아레나,소노,64,LG,95,""
2025-03-16,15:00,정규시즌,수원 KT 아레나,KT,89,삼성,84,""
2025-03-16,17:00,정규시즌,울산동천체육관,현대모비스,95,DB,89,""
2025-03-16,17:00,정규시즌,안양 정관장 아레나,정관장,84,SK,78,""
2025-03-17,15:00,정규시즌,대구체육관,한국가스공사,81,소노,82,""
2025-03-17,17:00,정규시즌,부산사직체육관,KCC,119,KT,101,""
2025-03-17,17:00,정규시즌,창원체육관,LG,92,DB,88,""
2025-03-18,19:00,정규시즌,잠실실내체육관,삼성,94,현대모비스,91,""
2025-03-19,19:00,정규시즌,창원체육관,LG,94,정관장,70,""
2025-03-19,19:00,정규시즌,잠실학생체육관,SK,62,소노,75,""
2025-03-20,19:00,정규시즌,부산사직체육관,KCC,98,삼성,85,""
2025-03-21,19:00,정규시즌,안양 정관장 아레나,정관장,85,한국가스공사,70,""
2025-03-21,19:00,정규시즌,잠실학생체육관,SK,83,DB,84,""
2025-03-22,19:00,정규시즌,부산사직체육관,KCC,92,LG,101,""
2025-03-22,19:00,정규시즌,고양 소노 아레나,소노,102,현대모비스,87,""
2025-03-23,15:00,정규시즌,수원 KT 아레나,KT,85,한국가스공사,81,""
2025-03-23,18:00,정규시즌,원주종합체육관,DB,68,정관장,96,""
2025-03-23,18:00,정규시즌,잠실학생체육관,SK,84,삼성,75,""
2025-03-24,15:00,정규시즌,울산동천체육관,현대모비스,85,LG,86,""
2025-03-24,18:00,정규시즌,원주종합체육관,DB,86,소노,84,""
2025-03-24,18:00,정규시즌,잠실실내체육관,삼성,96,KCC,87,""
2025-03-25,19:00,정규시즌,잠실학생체육관,SK,80,KT,99,""
2025-03-26,19:00,정규시즌,부산사직체육관,KCC,91,정관장,88,""
2025-03-26,19:00,정규시즌,대구체육관,한국가스공사,82,현대모비스,78,""
2025-03-28,19:00,정규시즌,수원 KT 아레나,KT,81,정관장,83,""
2025-03-28,19:00,정규시즌,잠실학생체육관,SK,82,LG,62,""
2025-03-29,19:00,정규시즌,부산사직체육관,KCC,110,현대모비스,103,""
2025-03-31,18:00,정규시즌,울산동천체육관,현대모비스,83,정관장,81,""
2025-03-31,18:00,정규시즌,부산사직체육관,KCC,102,SK,79,""
2025-03-31,18:00,정규시즌,원주종합체육관,DB,82,한국가스공사,73,""
2025-03-31,18:00,정규시즌,고양 소노 아레나,소노,95,KT,91,""
2025-03-31,18:00,정규시즌,창원체육관,LG,98,삼성,63,""
